fiscal_year,RTTBase
2000,619786919.4393718
2001,1552576989.272495
2002,2350770963.0316834
2003,3409710430.1254196
2004,4533855090.19053
2005,5321877808.642202
2006,6664153249.541439
2007,6598678909.007249
2008,5547692741.29342
2009,3948128526.100842
2010,3924343501.540791
2011,4002577255.704871
2012,4469171972.356285
2013,5041824935.661541
2014,5955859786.27201
2015,6988258917.421481
2016,8043474640.805455
2017,8207765855.177856
2018,8995549887.587416
2019,9036846804.418915
2020,8901093086.865402
2021,9558572912.424128
2022,17443135087.13658
2023,12024644158.447927
2024,10167333622.213848
2025,10300834736.583735
2026,11827413496.503145
2027,13623354879.201824
2028,14731124889.978012
