Date,WagesPhillyMSA
1990-01-01,497.966851851232
1990-04-01,507.32056477768305
1990-07-01,510.1791650435
1990-10-01,513.8116023987001
1991-01-01,522.5623183263469
1991-04-01,531.1104766678089
1991-07-01,536.471310635984
1991-10-01,536.446532690746
1992-01-01,552.932744883862
1992-04-01,553.9888631773549
1992-07-01,557.629263469373
1992-10-01,590.556637675081
1993-01-01,539.403527558038
1993-04-01,570.819187935019
1993-07-01,579.287559417706
1993-10-01,598.4956023474131
1994-01-01,568.360729348884
1994-04-01,583.501778459596
1994-07-01,602.030792716999
1994-10-01,591.583541342834
1995-01-01,605.193779780881
1995-04-01,610.37377064518
1995-07-01,610.9652745995929
1995-10-01,612.069641248825
1996-01-01,633.494864262525
1996-04-01,634.204732046981
1996-07-01,634.7993709176619
1996-10-01,645.667611852817
1997-01-01,651.303280089879
1997-04-01,653.3468763839389
1997-07-01,663.7658451244661
1997-10-01,683.154174385541
1998-01-01,675.608988873119
1998-04-01,697.861848656469
1998-07-01,697.386850120441
1998-10-01,723.9423234112579
1999-01-01,699.772192272286
1999-04-01,712.543045336537
1999-07-01,730.872197695703
1999-10-01,744.9499641395779
2000-01-01,749.446446028164
2000-04-01,748.8584729684591
2000-07-01,759.77188920613
2000-10-01,768.938746572212
2001-01-01,779.733476612559
2001-04-01,775.651329883028
2001-07-01,779.421460349589
2001-10-01,779.5742109104871
2002-01-01,796.4679587096359
2002-04-01,797.2798698020321
2002-07-01,797.134993734662
2002-10-01,795.143948086309
2003-01-01,812.089274481959
2003-04-01,825.795062277922
2003-07-01,829.91248425983
2003-10-01,842.6265363817239
2004-01-01,842.4894786132879
2004-04-01,853.267834564338
2004-07-01,867.705674541573
2004-10-01,897.589016657699
2005-01-01,851.061338747717
2005-04-01,887.253142915206
2005-07-01,923.77786857017
2005-10-01,911.9225407838609
2006-01-01,932.8443360234959
2006-04-01,932.5825411693061
2006-07-01,934.489908217195
2006-10-01,940.542711710452
2007-01-01,974.2702628037159
2007-04-01,972.3296343474491
2007-07-01,966.943149216501
2007-10-01,976.496992737649
2008-01-01,995.56146528442
2008-04-01,995.8894445556059
2008-07-01,997.297989235672
2008-10-01,995.3061380689579
2009-01-01,984.4792880515699
2009-04-01,996.9788692167909
2009-07-01,999.089279993134
2009-10-01,1033.87074217483
2010-01-01,985.928319933791
2010-04-01,1016.1965063653099
2010-07-01,1034.05584266022
2010-10-01,1049.48263432613
2011-01-01,1022.5320216644699
2011-04-01,1041.9004112349498
2011-07-01,1084.27113320658
2011-10-01,1034.88930450351
2012-01-01,1081.8747120003
2012-04-01,1062.79390071786
2012-07-01,1068.8242198927699
2012-10-01,1085.68387359058
2013-01-01,1076.4444923619
2013-04-01,1090.23397399913
2013-07-01,1079.12679993198
2013-10-01,1086.66672207992
2014-01-01,1112.02154810723
2014-04-01,1101.5582601143901
2014-07-01,1098.90497286753
2014-10-01,1120.21050643667
2015-01-01,1121.64901916536
2015-04-01,1133.96626401082
2015-07-01,1127.46372247011
2015-10-01,1179.80519722515
2016-01-01,1098.07380147649
2016-04-01,1143.34096628977
2016-07-01,1184.2244244878
2016-10-01,1147.7626416972698
2017-01-01,1166.51653957879
2017-04-01,1165.58282508289
2017-07-01,1167.71823086544
2017-10-01,1179.96570566057
2018-01-01,1204.92722049709
2018-04-01,1194.26643259199
2018-07-01,1200.88364170916
2018-10-01,1203.46392043244
2019-01-01,1240.4216986203598
2019-04-01,1235.51354043351
2019-07-01,1242.3954623351801
2019-10-01,1238.63916749275
2020-01-01,1269.78367257571
2020-04-01,1365.1302180492698
2020-07-01,1343.05028235221
2020-10-01,1396.7519708744699
2021-01-01,1320.53292313674
2021-04-01,1369.46740677951
2021-07-01,1387.48871839397
2021-10-01,1449.8878749777402
2022-01-01,1407.80244424889
2022-04-01,1427.24542683672
2022-07-01,1472.77601594281
2022-10-01,1406.72389260406
