Date,BuildingPermitsPhillyMSA
1988-01-01,1795.19834091589
1988-02-01,2385.32250654063
1988-03-01,3583.61504133873
1988-04-01,2470.1425875021
1988-05-01,1915.04074519584
1988-06-01,2621.50728988219
1988-07-01,1869.7548479565398
1988-08-01,2523.92932997968
1988-09-01,2164.24015155448
1988-10-01,2329.95778170061
1988-11-01,2196.51639503159
1988-12-01,2219.3231262041
1989-01-01,1975.9879359801398
1989-02-01,1784.2457412394199
1989-03-01,1691.7242943262197
1989-04-01,1922.42267343113
1989-05-01,1973.70055334696
1989-06-01,1764.17229086311
1989-07-01,1347.19040387136
1989-08-01,1645.98009477767
1989-09-01,2151.43459224125
1989-10-01,1714.12688712556
1989-11-01,1742.3083070493499
1989-12-01,1669.5117056912302
1990-01-01,1722.00747802457
1990-02-01,1583.9091204202402
1990-03-01,1611.5448152389802
1990-04-01,1380.78727545983
1990-05-01,1297.2349486151
1990-06-01,1421.33574702542
1990-07-01,1352.2034006731
1990-08-01,1196.59642467501
1990-09-01,1097.03123639818
1990-10-01,1056.91645694638
1990-11-01,1077.41693609031
1990-12-01,979.7428749755991
1991-01-01,1467.37064982884
1991-02-01,1180.30653399741
1991-03-01,1062.24161921726
1991-04-01,1199.92206013951
1991-05-01,1200.07370070042
1991-06-01,1090.6677043018499
1991-07-01,1160.75244781293
1991-08-01,1064.1169433370098
1991-09-01,1135.86714889622
1991-10-01,1378.69757539945
1991-11-01,1107.3854956021698
1991-12-01,1262.25081528162
1992-01-01,1188.68444966494
1992-02-01,1419.6398881554198
1992-03-01,1490.2598158963299
1992-04-01,1200.6459429608199
1992-05-01,1250.58747847111
1992-06-01,1120.26303805342
1992-07-01,1352.5693986286901
1992-08-01,1223.0989197455901
1992-09-01,1521.8655208648902
1992-10-01,1290.26907379948
1992-11-01,1213.93753423985
1992-12-01,1373.20947916278
1993-01-01,1271.67770753341
1993-02-01,1458.86208824454
1993-03-01,1171.9757249286
1993-04-01,1420.89632108241
1993-05-01,1424.6595986220002
1993-06-01,1455.57942865479
1993-07-01,1458.90688555142
1993-08-01,1825.7160541463397
1993-09-01,1606.90936914864
1993-10-01,1470.5307555827899
1993-11-01,1602.38185931594
1993-12-01,1865.59191446443
1994-01-01,1060.81508678307
1994-02-01,1264.8313696356
1994-03-01,1632.1535996237399
1994-04-01,1516.68039505082
1994-05-01,1554.45535583828
1994-06-01,1475.0616059997599
1994-07-01,1522.30876615707
1994-08-01,1690.67666224371
1994-09-01,1426.86074192555
1994-10-01,1366.63278592089
1994-11-01,1595.17287484186
1994-12-01,1851.69209484112
1995-01-01,1366.89266762199
1995-02-01,1235.65352059253
1995-03-01,1239.00843277127
1995-04-01,1171.53589271671
1995-05-01,1289.84909071836
1995-06-01,1421.84538585014
