Date,RentIndexPhillyMSA
2015-03-31,1346.057380381685
2015-04-30,1352.5153922815807
2015-05-31,1363.050015740904
2015-06-30,1368.6195780025937
2015-07-31,1372.2008691937883
2015-08-31,1374.5830041822803
2015-09-30,1373.9366979976464
2015-10-31,1371.8916123452605
2015-11-30,1367.1589498224669
2015-12-31,1364.39840064997
2016-01-31,1366.2013490482118
2016-02-29,1370.574537641801
2016-03-31,1381.515874082107
2016-04-30,1390.1694725215286
2016-05-31,1399.1994948063818
2016-06-30,1404.1473458354146
2016-07-31,1406.2435397240793
2016-08-31,1404.4769299913376
2016-09-30,1401.5989554292714
2016-10-31,1398.9652653908504
2016-11-30,1401.498070184095
2016-12-31,1401.9563664707875
2017-01-31,1403.5588411389178
2017-02-28,1408.7431654806182
2017-03-31,1416.6802000487098
2017-04-30,1427.079414059416
2017-05-31,1434.592869729391
2017-06-30,1439.392043721365
2017-07-31,1442.5101138063628
2017-08-31,1442.9142850045075
2017-09-30,1440.7437434676438
2017-10-31,1439.4705974475037
2017-11-30,1439.386382207813
2017-12-31,1442.6835104805748
2018-01-31,1442.5823830318627
2018-02-28,1444.4488644200771
2018-03-31,1451.988988478886
2018-04-30,1463.794833136012
2018-05-31,1476.9213019987958
2018-06-30,1483.7995486731868
2018-07-31,1486.7538323982835
2018-08-31,1485.7654109520208
2018-09-30,1484.409841492678
2018-10-31,1485.1801276134183
2018-11-30,1485.3772367488548
2018-12-31,1485.345041938677
2019-01-31,1487.7021827482815
2019-02-28,1493.114294443927
2019-03-31,1505.212908510837
2019-04-30,1516.138571468713
2019-05-31,1526.4070874198308
2019-06-30,1536.196959215891
2019-07-31,1542.7207579545277
2019-08-31,1544.9292586108377
2019-09-30,1541.548203133544
2019-10-31,1538.624374470689
2019-11-30,1537.3021094370806
2019-12-31,1537.145498556978
2020-01-31,1539.1915087770396
2020-02-29,1549.714089325183
2020-03-31,1560.6838279075105
2020-04-30,1562.982324138246
2020-05-31,1560.8139876483283
2020-06-30,1558.4098961057152
2020-07-31,1564.8794304684402
2020-08-31,1568.905402537809
2020-09-30,1570.0508548225378
2020-10-31,1567.820247940076
2020-11-30,1567.2765915819964
2020-12-31,1570.2110099476458
2021-01-31,1571.9456890861031
2021-02-28,1573.041900463485
2021-03-31,1579.5649819575144
2021-04-30,1597.3072145150531
2021-05-31,1623.361592191107
2021-06-30,1647.741942494837
2021-07-31,1671.4787352538435
2021-08-31,1695.8977448007142
2021-09-30,1717.769572198731
2021-10-31,1733.2416956825734
2021-11-30,1739.376497992428
2021-12-31,1751.457466837686
2022-01-31,1756.2063823944352
2022-02-28,1767.3777684079664
2022-03-31,1774.7637650587387
2022-04-30,1792.2265992265548
2022-05-31,1808.1070856320048
2022-06-30,1826.0132833460175
2022-07-31,1843.3578315835448
2022-08-31,1855.017472332112
2022-09-30,1857.2402975986088
2022-10-31,1852.603084114728
2022-11-30,1846.3794623118345
2022-12-31,1842.389484264874
2023-01-31,1841.64464814806
2023-02-28,1842.761387195208
2023-03-31,1846.7344601703253
2023-04-30,1854.6614869715493
