fiscal_year,RTTBase
2000,646495773.3076637
2001,1601014114.52307
2002,2366358833.0699573
2003,3355373052.5311923
2004,4390988471.176254
2005,5178474598.425135
2006,6652556810.595311
2007,6720605852.718575
2008,5687345731.201303
2009,4017269270.033017
2010,3931356061.3794737
2011,4002928080.368207
2012,4407247496.977425
2013,4887813382.1479025
2014,5904310546.995689
2015,7037146152.232027
2016,8168139644.988712
2017,8393704651.748461
2018,9112455107.990103
2019,9027956424.370426
2020,8772369512.847683
2021,9433119339.300154
2022,17611739172.77499
2023,11963697604.616743
2024,10229409471.887774
2025,10080969841.26248
2026,11808020397.642729
2027,14025768155.635445
2028,15341240796.596674
