fiscal_year,WageBase,SalesBase,NetIncomeBase,GrossReceiptsBase,ParkingBase,AmusementBase,RTTBase,NPTBase,BIRTBase
1997,11942124271.46828,4380651100.000002,2246734953.872308,2224107556.891526,96568473.13333344,79422951.59999998,,256529903.67939216,4470842510.763834
1998,24741519891.858078,9709531800.000006,2360051109.364615,2397228978.1321735,197303415.2,188035577.2,,298084433.93809867,4757280087.496788
1999,26337373472.316315,9920677399.999994,2478776447.566153,2608557013.6288295,209102361.39999995,195865906.60000008,,390606143.4368092,5087333461.194983
2000,28160861661.805344,12246460300.00001,2817527816.8015385,3104904867.845284,220481244.60000005,230833709.40000015,645348437.8076284,300013780.566895,5922432684.646822
2001,30191529903.518394,11130417400.0,3186910790.206154,3685823069.1722784,256937646.40000013,258815111.19999987,1410893539.4823322,322442776.8393941,6872733859.378432
2002,29173910113.655,10809393800.000004,2824451637.512307,3436757276.320834,252919187.66666672,276715661.79999995,2264131862.374941,349914158.0087849,6261208913.833141
2003,29659110394.787903,10797116099.999998,2974932292.015384,3777245474.7391315,258283448.80000022,282801413.99999976,3393867741.726207,307946820.9438546,6752177766.754516
2004,30454056705.122032,10796928899.99999,3304957237.9384613,4595920520.666666,283031688.4,366245187.2000002,4560036114.392205,351512132.6338694,7900877758.605127
2005,32934736303.0924,11987931400.0,4033975648.056924,6200199031.910528,300224651.9333335,271246350.39999986,5149351057.144269,384051986.799244,10234174679.967453
2006,34841967885.80274,12781707200.000006,4414904295.816923,7743423559.273273,318484249.6666665,339400275.6,6585815270.73799,384142524.81123495,12158327855.090197
2007,37084341924.20238,13257224599.999992,4774028323.886153,8230330519.961039,331038908.7333333,329081516.6000001,6671417377.561112,357610733.54494876,13004358843.84719
2008,37957335872.412636,13727515300.00001,4637563262.790698,7046474215.547703,365094551.8666666,359673682.79999995,5677866302.359388,324945772.37568176,11684037478.338402
2009,38963038051.8882,12823188999.999992,4488076556.860465,6819338937.985865,347276123.4,427585639.1999999,3926618525.502165,343349093.7909083,11307415494.846329
2010,39159830022.42404,13722425799.999998,4240733977.3255825,6443518057.420496,345886216.69999975,437007528.8000004,4010220334.427674,437316430.94648814,10684252034.746078
2011,40074760821.14752,12229236500.000006,4324630323.289923,6926181885.35689,350364467.2500001,415333865.7999998,4193465015.387611,208193424.98106787,11250812208.646812
2012,42376821006.405075,12676158049.999994,4467375949.274419,7154798459.491167,347292378.30000013,438215614.5999999,4648823215.483364,442186234.4154844,11622174408.765587
2013,43346449806.28284,12877491499.99999,5173244365.03876,8285293477.385159,358953567.84999985,381618155.39999986,4979826437.200592,625757836.9689645,13458537842.42392
2014,44699919032.87345,13152472099.999998,5312982968.933126,8482709318.558305,368618935.29999983,399471286.19999975,5967926623.679739,479288452.19496155,13795692287.491432
2015,47001923806.19733,13722541591.000015,5059185799.063962,8052372316.607775,390703689.9999999,380094620.0,7122147006.511919,536105023.0816431,13111558115.671738
2016,48799995430.80657,14552251765.000006,5491187747.724569,8712691551.971731,411842329.46666694,387942029.39999986,8229036566.743755,854277590.094378,14203879299.6963
2017,51691429896.02904,15450864841.999994,4865657018.444094,7671855350.445229,427134902.6222224,411545926.9999999,8202542832.671154,930517354.4241785,12537512368.889322
2018,55330954176.85535,15940993800.000006,5168757735.688889,8511599698.34629,428766466.1777775,459398967.59999985,8798581114.882088,1014201465.4931986,13680357434.03518
2019,56988493352.69135,17297234500.00001,6317403997.9328,10320556896.763252,441387142.75555575,528116796.20000005,8637273678.740334,1085729543.9043887,16637960894.696053
2020,57700296306.04262,16251363799.0,6290238854.796774,10193968578.27562,343404766.62222254,368917391.20000005,8490859683.2244835,833603569.9639677,16484207433.072393
2021,52119400168.16327,17553210699.999985,6376888631.575807,10334393309.70318,212847315.76,58363572.799999945,10185031655.060226,1556016889.773025,16711281941.278988
2022,56182260182.24119,19452318827.40499,7467864677.419355,12102430388.69258,392373333.3333335,436559999.99999994,17462477345.094337,954189956.7658007,19570295066.111935
2023,59720772309.039764,20170871653.37502,7700602182.340047,12560229534.07098,423383200.0254309,445295044.7521703,11720677302.633392,1263038616.8397374,20260831716.411026
2024,61949072839.91616,20681260208.497993,7905356341.766534,12952978951.71442,445456442.8396778,474786647.41698265,11501817289.020424,1203388901.1950233,20858335293.480953
2025,64681193488.68895,21109979980.97026,8109752666.037045,13345301830.432362,460832635.3885521,500053883.75434643,10410587421.308226,1256641661.8263848,21455054496.469406
2026,67366037238.312355,21549349538.700474,8314146294.265119,13737623880.126926,474796483.49380594,525413156.3483262,10305895477.45404,1296954281.8978558,22051770174.392044
2027,70123404228.00577,21978972728.351883,8518539916.804188,14129945924.745651,489295862.12441385,551738669.1635377,10370556183.020674,1321086830.8975515,22648485841.54984
