Date,ConsumerConfidence
1960-01-01,101.645056215701
1960-02-01,101.38104717515
1960-03-01,101.152966153009
1960-04-01,101.027153328751
1960-05-01,101.058917165962
1960-06-01,101.148822338693
1960-07-01,101.167813521624
1960-08-01,101.024197844699
1960-09-01,100.801541337556
1960-10-01,100.616668669054
1960-11-01,100.556703718215
1960-12-01,100.578326305331
1961-01-01,100.628078537938
1961-02-01,100.681083618843
1961-03-01,100.751635008657
1961-04-01,100.876396181976
1961-05-01,101.080054074651
1961-06-01,101.286762747551
1961-07-01,101.386010391786
1961-08-01,101.295435554906
1961-09-01,101.13110439456
1961-10-01,101.048674415058
1961-11-01,101.158314528607
1961-12-01,101.357723934491
1962-01-01,101.500062423175
1962-02-01,101.472111388064
1962-03-01,101.329505754474
1962-04-01,101.143660829315
1962-05-01,100.963353749258
1962-06-01,100.819544220477
1962-07-01,100.752816730605
1962-08-01,100.804325210637
1962-09-01,100.929655656703
1962-10-01,101.084091478625
1962-11-01,101.234056883639
1962-12-01,101.339454883057
1963-01-01,101.340475715838
1963-02-01,101.188972678959
1963-03-01,100.984215123219
1963-04-01,100.854866592225
1963-05-01,100.894217479028
1963-06-01,101.020008659225
1963-07-01,101.124150309333
1963-08-01,101.136000430562
1963-09-01,101.107292903886
1963-10-01,101.119832174886
1963-11-01,101.233745587716
1963-12-01,101.394488920172
1964-01-01,101.524093714349
1964-02-01,101.565584687657
1964-03-01,101.558535682129
1964-04-01,101.557351094752
1964-05-01,101.598087285431
1964-06-01,101.659409568005
1964-07-01,101.706333972767
1964-08-01,101.713382917088
1964-09-01,101.70213875385
1964-10-01,101.706035513419
1964-11-01,101.753443741103
1964-12-01,101.835614423873
1965-01-01,101.943748715878
1965-02-01,102.071305208872
1965-03-01,102.190343593402
1965-04-01,102.260741990783
1965-05-01,102.247932405598
1965-06-01,102.189276153276
1965-07-01,102.12641824774
1965-08-01,102.083488468249
1965-09-01,102.049504067393
1965-10-01,102.001185748174
1965-11-01,101.916828274536
1965-12-01,101.804504988177
1966-01-01,101.669765247557
1966-02-01,101.511297691699
1966-03-01,101.339009946179
1966-04-01,101.159517513314
1966-05-01,100.975452850811
1966-06-01,100.791979138962
1966-07-01,100.619830757721
1966-08-01,100.477762813135
1966-09-01,100.383675333158
1966-10-01,100.380021181232
1966-11-01,100.511233506461
1966-12-01,100.710719864528
1967-01-01,100.902969953279
1967-02-01,101.037389316669
1967-03-01,101.129369316821
1967-04-01,101.198277444807
1967-05-01,101.247886994663
1967-06-01,101.269878609575
1967-07-01,101.238481088857
1967-08-01,101.132730128676
1967-09-01,101.012116199605
1967-10-01,100.957402359688
1967-11-01,101.026305037591
1967-12-01,101.143274725404
1968-01-01,101.203571966403
1968-02-01,101.129276334113
1968-03-01,100.981967856974
1968-04-01,100.843930186189
1968-05-01,100.772366608401
1968-06-01,100.744345252034
1968-07-01,100.728362665082
1968-08-01,100.712365171469
1968-09-01,100.719731458008
1968-10-01,100.797110750681
1968-11-01,100.978897209564
1968-12-01,101.181691318823
1969-01-01,101.283992807176
1969-02-01,101.184885916776
1969-03-01,100.963217294205
1969-04-01,100.707177982976
1969-05-01,100.466447147005
1969-06-01,100.238706483948
1969-07-01,100.005210317691
1969-08-01,99.753365517927
1969-09-01,99.5050669229349
1969-10-01,99.2990172414501
1969-11-01,99.1695007485552
1969-12-01,99.082908069271
1970-01-01,99.0028885170369
1970-02-01,98.912578617373
1970-03-01,98.8302575057002
1970-04-01,98.7910423157499
1970-05-01,98.8205947799835
1970-06-01,98.8657219082884
1970-07-01,98.8533242362164
1970-08-01,98.7337694103557
1970-09-01,98.581790572875
1970-10-01,98.5068576846302
1970-11-01,98.5959728586863
1970-12-01,98.7794197458085
1971-01-01,98.9709456619418
1971-02-01,99.1136120026246
1971-03-01,99.2175656283909
1971-04-01,99.3018504772846
1971-05-01,99.3749318922909
1971-06-01,99.4348897256396
1971-07-01,99.4727693572416
1971-08-01,99.4890562959903
1971-09-01,99.5322289816024
1971-10-01,99.6784490865954
1971-11-01,99.9843660701947
1971-12-01,100.336874314067
1972-01-01,100.581654183736
1972-02-01,100.605121829723
1972-03-01,100.524107362898
1972-04-01,100.493431302091
1972-05-01,100.617963134527
1972-06-01,100.814341470235
1972-07-01,100.951944348238
1972-08-01,100.922013039457
1972-09-01,100.765551307338
1972-10-01,100.522232531199
1972-11-01,100.205837252936
1972-12-01,99.8665477677335
1973-01-01,99.5533405512384
1973-02-01,99.2992728924635
1973-03-01,99.0806872591918
1973-04-01,98.8741637330265
1973-05-01,98.6779904177308
1973-06-01,98.521571741669
1973-07-01,98.4604637888961
1973-08-01,98.5316549922219
1973-09-01,98.6135361017774
1973-10-01,98.5357331671127
1973-11-01,98.1782506130641
1973-12-01,97.7302983598414
1974-01-01,97.4564287046956
1974-02-01,97.5531429027602
1974-03-01,97.831415149816
1974-04-01,98.034322630458
1974-05-01,97.9731175184796
1974-06-01,97.738663742462
1974-07-01,97.4528896022939
1974-08-01,97.1934890509365
1974-09-01,96.9699433391329
1974-10-01,96.7858063430404
1974-11-01,96.6651350511026
1974-12-01,96.6395113364171
1975-01-01,96.7922808152303
1975-02-01,97.2077441269734
1975-03-01,97.7419550220057
1975-04-01,98.218716521036
1975-05-01,98.5068294900471
1975-06-01,98.6547906124288
1975-07-01,98.7193394509756
1975-08-01,98.7341573553055
1975-09-01,98.7619786543223
1975-10-01,98.8757499926108
1975-11-01,99.1267862709403
1975-12-01,99.4269765487016
1976-01-01,99.6597961364238
1976-02-01,99.7421646888579
