fiscal_year,Five Year Plan,Controller,tax_name
1996,,,BIRT
1997,211648944.93000004,211648944.93000004,BIRT
1998,222323655.22999996,222323655.22999996,BIRT
1999,233507926.21999997,233507926.21999997,BIRT
2000,265419287.09000003,265419287.09000003,BIRT
2001,300216233.86,300216233.86,BIRT
2002,266071531.07,266071531.07,BIRT
2003,280247244.9,280247244.9,BIRT
2004,311336551.4,311336551.4,BIRT
2005,380012198.7300001,380012198.7300001,BIRT
2006,415896781.49,415896781.49,BIRT
2007,437058931.05999994,437058931.05999994,BIRT
2008,398830440.6,398830440.6,BIRT
2009,385974583.89,385974583.89,BIRT
2010,364703122.05000013,364703122.05000013,BIRT
2011,376944129.53000003,376944129.53000003,BIRT
2012,389386146.93000007,389386146.93000007,BIRT
2013,450911164.25,450911164.25,BIRT
2014,461655141.76000005,461655141.76000005,BIRT
2015,438234878.0,438234878.0,BIRT
2016,474171482.53999996,474171482.53999996,BIRT
2017,417525973.88,417525973.88,BIRT
2018,446070873.08,446070873.08,BIRT
2019,540873629.96,540873629.96,BIRT
2020,534239464.3800001,534239464.3800001,BIRT
2021,516747000.0,516747000.0,BIRT
2022,521199000.0,535655509.22124815,BIRT
2023,535181000.0,545989977.6718322,BIRT
2024,560976000.0,555375111.4013574,BIRT
2025,573664000.0,554175740.2767997,BIRT
2026,580406000.0,551952208.6076379,BIRT
1996,,,Wage
1997,436192298.9199996,436192298.9199996,Wage
1998,891905071.2600001,891905071.2600001,Wage
1999,923550552.1600002,923550552.1600002,Wage
2000,967796447.6899997,967796447.6899997,Wage
2001,1023140226.6600003,1023140226.6600003,Wage
2002,981781428.36,981781428.36,Wage
2003,987224844.0499996,987224844.0499996,Wage
2004,1034474361.6199999,1034474361.6199999,Wage
2005,1066003879.4800007,1066003879.4800007,Wage
2006,1104034649.04,1104034649.04,Wage
2007,1162390897.1299999,1162390897.1299999,Wage
2008,1176555948.5700002,1176555948.5700002,Wage
2009,1105870765.2899997,1105870765.2899997,Wage
2010,1102284993.01,1102284993.01,Wage
2011,1127455305.9900007,1127455305.9900007,Wage
2012,1192221006.83,1192221006.83,Wage
2013,1219500349.5600002,1219500349.5600002,Wage
2014,1255871045.1799994,1255871045.1799994,Wage
2015,1318751776.9999993,1318751776.9999993,Wage
2016,1364611840.2299995,1364611840.2299995,Wage
2017,1440605001.03,1440605001.03,Wage
2018,1536868156.7399995,1536868156.7399995,Wage
2019,1577548634.3700008,1577548634.3700008,Wage
2020,1591884242.74,1591884242.74,Wage
2021,1500733999.999999,1500733999.999999,Wage
2022,1551010000.0,1555984222.4232981,Wage
2023,1623466000.0,1628434721.6137383,Wage
2024,1692011000.0,1720711830.9140615,Wage
2025,1768856000.0,1807805654.2937825,Wage
2026,1845127000.0,1888642469.9207194,Wage
1996,,,Sales
1997,43806511.00000002,43806511.00000002,Sales
1998,97095318.00000006,97095318.00000006,Sales
1999,99206773.99999994,99206773.99999994,Sales
2000,122464603.0000001,122464603.0000001,Sales
2001,111304174.0,111304174.0,Sales
2002,108093938.00000004,108093938.00000004,Sales
2003,107971160.99999999,107971160.99999999,Sales
2004,107969288.99999991,107969288.99999991,Sales
2005,119879314.0,119879314.0,Sales
2006,127817072.00000001,127817072.00000001,Sales
2007,132572245.99999993,132572245.99999993,Sales
2008,137275153.00000015,137275153.00000015,Sales
2009,128231889.99999993,128231889.99999993,Sales
2010,240142451.50000003,240142451.50000003,Sales
2011,244584730.00000012,244584730.00000012,Sales
2012,253523160.99999988,253523160.99999988,Sales
2013,257549829.99999973,257549829.99999973,Sales
2014,263049442.0,263049442.0,Sales
2015,274450831.8200003,274450831.8200003,Sales
2016,291045035.30000013,291045035.30000013,Sales
2017,309017296.8399999,309017296.8399999,Sales
2018,318819876.0000001,318819876.0000001,Sales
2019,345944690.0000002,345944690.0000002,Sales
2020,325027275.98,325027275.98,Sales
2021,330183470.4901997,330183470.4901997,Sales
2022,336886195.0,348897168.0788891,Sales
2023,346319008.0,357027328.6139178,Sales
2024,358682597.0,366555596.825641,Sales
2025,372204931.0,376529111.15836704,Sales
2026,385678749.0,387088631.9804211,Sales
1996,,,RTT
1997,23740187.080000002,23740187.080000002,RTT
1998,80440020.67,80440020.67,RTT
1999,72774929.4800001,72774929.4800001,RTT
2000,80248213.2,80248213.2,RTT
2001,77025289.75,77025289.75,RTT
2002,96732783.96000001,96732783.96000001,RTT
2003,102317052.61,102317052.61,RTT
2004,141345440.9200002,141345440.9200002,RTT
2005,192266194.45999977,192266194.45999977,RTT
2006,236429848.51000023,236429848.51000023,RTT
2007,217329184.04999995,217329184.04999995,RTT
2008,184048097.39999998,184048097.39999998,RTT
2009,115132990.41999997,115132990.41999997,RTT
2010,119235530.42000005,119235530.42000005,RTT
2011,116643503.25,116643503.25,RTT
2012,119364495.86999999,119364495.86999999,RTT
2013,147967711.5999999,147967711.5999999,RTT
2014,168067573.06999978,168067573.06999978,RTT
2015,203370331.99999994,203370331.99999994,RTT
2016,237346718.84999996,237346718.84999996,RTT
2017,247290247.24999982,247290247.24999982,RTT
2018,331516844.0699999,331516844.0699999,RTT
2019,328446085.8000002,328446085.8000002,RTT
2020,319794152.75999975,319794152.75999975,RTT
2021,299307000.00000006,299307000.00000006,RTT
2022,294859000.0,295610512.71517384,RTT
2023,295832000.0,310118288.8136874,RTT
2024,304884000.0,323164881.43542635,RTT
2025,315281000.0,338555291.5201127,RTT
2026,326095000.0,356443724.73047227,RTT
1996,13935942.990000004,13935942.990000004,Parking
1997,28176978.64,28176978.64,Parking
1998,29595512.279999997,29595512.279999997,Parking
1999,31365354.21,31365354.21,Parking
2000,33072186.69,33072186.69,Parking
2001,38540646.96,38540646.96,Parking
2002,37937878.15,37937878.15,Parking
2003,38742517.32000001,38742517.32000001,Parking
2004,42454753.260000005,42454753.260000005,Parking
2005,45033697.79,45033697.79,Parking
2006,47772637.45000001,47772637.45000001,Parking
2007,49655836.31,49655836.31,Parking
2008,54764182.780000016,54764182.780000016,Parking
2009,69455224.68,69455224.68,Parking
2010,69177243.34,69177243.34,Parking
2011,70072893.45,70072893.45,Parking
2012,69458475.66,69458475.66,Parking
2013,71790713.57000001,71790713.57000001,Parking
2014,73723787.05999999,73723787.05999999,Parking
2015,78140738.0,78140738.0,Parking
2016,92664524.13000001,92664524.13000001,Parking
2017,96105353.08999999,96105353.08999999,Parking
2018,96472454.89000002,96472454.89000002,Parking
2019,99312107.11999999,99312107.11999999,Parking
2020,77266072.49,77266072.49,Parking
2021,51485000.0,51485000.0,Parking
2022,56429000.0,68862144.6647736,Parking
2023,73662000.0,82744186.69919695,Parking
2024,76837000.0,90290383.36833143,Parking
2025,79949000.0,93447765.25603412,Parking
2026,83107000.0,96605147.14373681,Parking
1996,3066574.66,3066574.66,Amusement
1997,9107467.76,9107467.76,Amusement
1998,9401778.86,9401778.86,Amusement
1999,9793295.33,9793295.33,Amusement
2000,11541685.47,11541685.47,Amusement
2001,12940755.56,12940755.56,Amusement
2002,13835783.090000002,13835783.090000002,Amusement
2003,14140070.699999997,14140070.699999997,Amusement
2004,18312259.359999996,18312259.359999996,Amusement
2005,13562317.52,13562317.52,Amusement
2006,16970013.78,16970013.78,Amusement
2007,16454075.830000002,16454075.830000002,Amusement
2008,17983684.14,17983684.14,Amusement
2009,21379281.959999997,21379281.959999997,Amusement
2010,21850376.44,21850376.44,Amusement
2011,20766693.290000003,20766693.290000003,Amusement
2012,21910780.73,21910780.73,Amusement
2013,19080907.77,19080907.77,Amusement
2014,19973564.31,19973564.31,Amusement
2015,19004731.0,19004731.0,Amusement
2016,19397101.47,19397101.47,Amusement
2017,20577296.35,20577296.35,Amusement
2018,22969948.380000003,22969948.380000003,Amusement
2019,26405839.81,26405839.81,Amusement
2020,18445869.56,18445869.56,Amusement
2021,2269000.0,2269000.0,Amusement
2022,12963000.0,12092890.177418167,Amusement
2023,19657000.0,19880944.17213325,Amusement
2024,20414000.0,23130940.74137891,Amusement
2025,21231000.0,24692889.138262063,Amusement
2026,22063000.0,25769034.47244137,Amusement
1996,,,NPT
1997,9019185.07,9019185.07,NPT
1998,10193941.55,10193941.55,NPT
1999,13091108.650000002,13091108.650000002,NPT
2000,9914416.199999997,9914416.199999997,NPT
