Date,DeedTransfersPhilly,YieldCurve,SahmRule,WagesPhillyMSA,NonfarmEmployeesPhillyMSA,NonfarmEmployeesPhilly,PersonalSavingsRate,NYCGasPrice,CarSales,RealRetailFoodServiceSales,UnemploymentRate,PPI,UnemploymentPhillyMSA,UnemploymentPhilly,CorporateProfits,RealGDP,AlcoholSales,PrimeEPOP,UncertaintyIndex,HousePriceIndexPhillyMSA,BuildingPermitsPhillyMSA,EconomicConditionsPhillyMSA,CPIPhillyMSA,InitialClaimsPA,ContinuedClaimsPA,NewManufacturingOrders,ConsumerConfidence,ManufacturingHoursWorked,PCE,RealDisposablePersonalIncome,HousingStarts,HousingSupply,GovtSocialBenefits,GDPPriceIndex,GDP,PCEPriceIndex,CPIU,10YearTreasury,3MonthTreasury,FedFundsRate,OilPriceWTI,FHFAHousePriceIndex,NonfarmEmployment,PersonalIncome,Wage&Salaries,NonresidentialInvestment,ResidentialInvestment,TotalBusinessSales,SP500,AmusementBase,GrossReceiptsBase,NetIncomeBase,NPTBase,ParkingBase,RTTBase,SalesBase,WageBase
1996-01-01,12.541118554548564,0.6403225806451613,0.1333333333333333,633.494864262525,2487.8,673.3000000000001,6.666666666666667,0.5408095238095237,15.481,136411.66666666666,5.533333333333334,126.3,5.666666666666667,7.614390762155689,772.255,10824.674,1929.3333333333333,79.86666666666667,86.62073653714097,105.33,1192.4751453992485,2.9933333333333336,161.12219800764336,24282.01604615568,183113.52783010225,48964.66666666666,100.53485575636766,40.7,5130.599999999999,7882.633333333334,1460.6666666666667,5.966666666666666,674.991,72.655,7868.468,72.559,155.06666666666666,5.91,4.93,5.363333333333333,19.76,113.7,118680.66666666669,6520.965,3524.4666666666667,1003.747,344.725,665407.3333333334,637.01,25221361.2,218776592.33000004,224748161.84769225,38896327.27646199,45055375.13333335,417315784.0,2202700600.0,5930261945.126404
1996-04-01,13.409479314344264,0.60328125,-0.0233333333333333,634.204732046981,2519.1,673.9333333333333,6.5,0.6411746031746032,15.571666666666667,137903.33333333334,5.5,127.83333333333331,5.466666666666666,7.307154249109171,784.776,11005.217,1930.6666666666667,80.0,75.66406146926538,103.42,1419.8968173816263,4.32,162.293514854019,21468.65477801713,162886.51720118432,50054.333333333336,100.70997312377531,41.36666666666667,5220.533333333334,7954.866666666666,1495.6666666666667,5.966666666666666,680.667,72.952,8032.84,73.04466666666667,156.4,6.72,5.02,5.243333333333333,21.69666666666667,114.45,119471.66666666669,6649.846,3589.933333333333,1026.468,361.399,683338.6666666666,658.9666666666667,36110132.0,1794259068.4900005,1843233881.773846,214852553.35078308,47850911.46666667,313479079.99999994,1707329000.0,5721559179.320634
1996-07-01,19.12128678989192,0.6,-0.0666666666666666,634.7993709176619,2527.633333333333,675.9,6.666666666666667,0.616140625,15.364666666666666,138152.33333333334,5.266666666666667,128.16666666666666,5.366666666666667,7.133129256402053,790.044,11103.935,1944.0,80.43333333333334,77.02393358977301,102.37,1450.41691142869,2.47,163.26123953137147,20988.697620503703,156434.2819550331,50550.333333333336,101.051288311259,41.5,5274.5,8019.3,1501.3333333333333,5.3,683.711,73.306,8131.408,73.356,157.29999999999998,6.78,5.096666666666667,5.306666666666667,22.39,115.17,120206.0,6725.853,3647.2333333333336,1058.965,364.315,690877.0,660.5433333333334,45949333.4,136305054.77627122,137691781.14,18114948.630388714,44402845.06666667,431828708.0,2141674200.0,5769522789.656541
1996-10-01,27.68672465661819,0.550483870967742,0.0333333333333333,645.667611852817,2538.9,672.0333333333333,6.400000000000001,0.67653125,15.401000000000002,139499.0,5.333333333333333,128.4333333333333,5.266666666666667,7.227183410902745,810.914,11219.238,1906.6666666666667,80.53333333333333,61.84134429888525,103.39,1585.08339298652,3.286666666666666,164.63365843460764,21429.796008027075,153358.04186499663,51995.0,101.35371487534768,41.53333333333333,5352.766666666666,8062.033333333333,1417.0,5.266666666666667,688.911,73.616,8259.771,73.85566666666666,158.66666666666666,6.343333333333334,4.976666666666667,5.28,24.606666666666666,115.83,120919.0,6817.457,3704.2666666666655,1083.597,361.806,699627.3333333334,726.7933333333334,56777070.2,45027615.90847457,45485713.24153845,22651258.4827631,46875206.06666667,576954906.6666666,2126914700.0,5844664624.175341
1997-01-01,27.40700950032645,0.5223333333333333,0.12,651.303280089879,2555.733333333333,666.6,6.266666666666667,0.6383606557377048,15.589666666666668,140960.66666666666,5.233333333333333,128.5,5.1000000000000005,7.045662292470393,839.036,11291.665,1950.3333333333333,80.5,58.59965387053802,103.74,1665.8595119805802,3.5033333333333334,165.7137502554257,18581.78633902815,149246.6054814453,53479.333333333336,101.57597070014867,41.6,5433.099999999999,8138.766666666666,1432.6666666666667,4.433333333333334,704.464,73.946,8362.655,74.182,159.63333333333333,6.5633333333333335,5.06,5.276666666666666,22.76,116.57,121675.66666666669,6939.356,3776.366666666667,1107.299,365.359,713321.6666666666,785.59,26804719.4,262696443.640678,265369037.73230767,46423835.63542584,46120290.60000002,398526049.3333334,2293903700.0,6143763386.480188
1997-04-01,35.08250887110997,0.42375,-0.1033333333333333,653.3468763839389,2569.9,665.3333333333334,6.633333333333333,0.586546875,14.89,140333.0,5.0,127.2,4.933333333333334,6.9474969386741785,861.635,11479.33,1992.6666666666667,80.73333333333333,78.65500071045761,103.4,1522.082834844843,3.4333333333333336,166.21570638508177,20300.16199759461,144852.36478655922,54980.0,102.05757571467,41.7,5471.233333333334,8210.933333333334,1476.0,4.566666666666666,707.548,74.314,8518.825,74.36766666666666,160.0,6.696666666666666,5.046666666666667,5.523333333333333,19.926666666666662,117.52,122550.33333333331,7022.275,3835.633333333333,1129.567,372.277,718286.6666666666,824.4366666666666,52618232.2,1961411113.250848,1981365916.14,213048234.54873225,50448182.53333334,392813520.0,2086747400.0,5858270637.052908
1997-07-01,31.489415594066404,0.3384375,0.0,663.7658451244661,2593.4666666666667,666.1999999999999,6.1000000000000005,0.63753125,15.604,142687.0,4.866666666666667,127.2,4.733333333333333,6.896031745595554,896.641,11622.911,2016.6666666666667,81.16666666666667,61.01569179496687,104.2,1486.9092469358402,4.253333333333333,166.94971090985482,20648.545232734272,142755.3673508157,59114.66666666666,102.35745780436132,41.66666666666666,5579.166666666667,8307.566666666668,1457.6666666666667,4.3,709.184,74.535,8662.823,74.56400000000001,160.79999999999998,6.243333333333333,5.046666666666667,5.533333333333334,19.80333333333333,118.36,123260.33333333331,7135.314,3902.966666666666,1178.364,378.952,729223.3333333334,929.85,45589075.99999999,117965767.83652176,116136273.91846152,23079683.19799084,46227574.6,592029884.3333334,2785702100.0,6097980395.945009
1997-10-01,12.403287043741969,0.1717741935483871,-0.0666666666666666,683.154174385541,2614.0,672.5666666666666,6.333333333333333,0.5532698412698412,15.909999999999998,142568.33333333334,4.666666666666667,127.5,4.566666666666666,6.5942659457445885,881.587,11722.722,2055.333333333333,81.03333333333333,68.65691405323639,105.33,1573.1731658664503,3.776666666666667,166.90272183823143,20802.23143651079,145103.7415767173,57983.333333333336,102.33551281793967,41.86666666666667,5663.633333333334,8429.9,1532.0,4.2,710.244,74.802,8765.907,74.79766666666667,161.66666666666666,5.906666666666666,5.09,5.506666666666667,19.95,119.65,124234.66666666669,7273.02,3992.4,1181.123,385.754,733815.6666666666,950.8166666666666,62648836.2,108678986.02086958,106993517.8753846,16490562.578540135,49325283.73333333,714270666.3333333,2227887400.0,6199598829.875161
1998-01-01,20.551453254441338,0.141311475409836,-0.01,675.608988873119,2627.8,674.8000000000001,7.433333333333334,0.4577049180327869,15.142,143282.66666666666,4.633333333333333,125.03333333333336,4.433333333333334,6.579667816956627,812.675,11839.876,2086.0,81.0,86.26323558687285,107.3,1900.6647206436533,2.57,167.0977000532435,21065.67217778788,142786.27450118473,57948.333333333336,102.57642112981232,41.73333333333333,5721.333333333333,8607.366666666667,1558.6666666666667,4.0,719.697,74.878,8866.48,74.80366666666667,162.0,5.586666666666667,5.053333333333334,5.52,15.966666666666669,121.14,124998.66666666669,7434.561,4074.9,1212.378,394.846,737892.6666666666,1021.31,33085502.0,222161881.92000005,218716443.30461532,56395589.91359206,48896118.93333333,701949259.0,2179858500.0,6520856799.117966
1998-04-01,14.305980001274603,0.0349206349206349,-0.1,697.861848656469,2632.733333333333,672.9,6.966666666666666,0.4633015873015872,16.58366666666667,146027.33333333334,4.4,124.93333333333334,4.333333333333333,6.331269364247308,809.423,11949.492,2087.6666666666665,81.03333333333333,77.6258977533693,107.62,1628.2212342566534,2.473333333333333,167.67258879261894,21698.44028729721,139174.5458136455,57834.66666666666,102.507539828947,41.36666666666667,5832.566666666667,8725.733333333334,1572.3333333333333,3.9,720.665,75.072,8969.699,74.93866666666666,162.53333333333333,5.596666666666667,4.976666666666667,5.5,14.660000000000002,122.82,125790.66666666669,7561.053,4145.5,1247.103,411.33,739770.0,1109.67,46712162.99999999,1948422342.3547823,1918204874.2661536,205669164.6926189,52854437.93333335,673084212.6666666,2516083800.0,6049799774.896207
