fiscal_year,WageBase,SalesBase,NetIncomeBase,GrossReceiptsBase,ParkingBase,AmusementBase,RTTBase,NPTBase,BIRTBase
1997,11976284969.886873,4380651100.000002,2246734953.872308,2224107556.891526,96568473.13333344,79422951.59999998,791339569.3333335,256129315.70035082,4470842510.763834
1998,24813770394.666634,9709531800.000006,2360051109.364615,2397228978.1321735,197303415.2,188035577.2,2681334022.3333335,297601249.8156404,4757280087.496788
1999,26417661219.577286,9920677399.999994,2478776447.566153,2608557013.6288295,209102361.39999995,195865906.60000008,2425830982.666668,389955636.6962635,5087333461.194983
2000,28249410685.882328,12246460300.00001,2817527816.8015385,3104904867.845284,220481244.60000005,230833709.40000015,2674940440.0,299504904.19447553,5922432684.646822
2001,30288454186.74717,11130417400.0,3186910790.206154,3685823069.1722784,256937646.40000013,258815111.19999987,2567509658.333333,321890482.389042,6872733859.378432
2002,29268644143.912598,10809393800.000004,2824451637.512307,3436757276.320834,252919187.66666672,276715661.79999995,3224426132.0000005,349306050.78847784,6261208913.833141
2003,29757023501.12714,10797116099.999998,2974932292.015384,3777245474.7391315,258283448.80000022,282801413.99999976,3410568420.333336,307477294.4087569,6752177766.754516
2004,30535511440.134693,10796928899.99999,3304957237.9384613,4595920520.666666,283031688.4,366245187.2000002,4711514697.333336,350892479.8219472,7900877758.605127
2005,33052141438.59014,11987931400.0,4033975648.056924,6200199031.910528,300224651.9333335,271246350.39999986,6408873148.666664,383319690.524627,10234174679.967453
2006,34971719063.25868,12781707200.000004,4414904295.816923,7743423559.273273,318484249.6666665,339400275.6,7880994950.333339,383409661.7740807,12158327855.090197
2007,37224458618.46476,13257224599.999992,4774028323.886153,8230330519.961039,331038908.7333333,329081516.6000001,7244306134.999997,356905075.34304863,13004358843.84719
2008,38104927805.52608,13727515300.000011,4637563262.790698,7046474215.547703,365094551.8666666,359673682.79999995,6134936579.999999,324224424.86448807,11684037478.338402
2009,39139206512.746475,12823188999.999992,4488076556.860465,6819338937.985865,347276123.4,427585639.1999999,3837766347.3333335,342569183.14240855,11307415494.846329
2010,39339294741.37497,13722425799.999998,4240733977.3255825,6443518057.420496,345886216.69999975,437007528.8000004,3974517680.6666675,436322323.5267084,10684252034.746078
2011,40258583041.30571,12229236500.000004,4324630323.289923,6926181885.35689,350364467.2500001,415333865.7999998,3888116775.0,207720159.82596022,11250812208.646812
2012,42571202735.978195,12676158049.999996,4467375949.274419,7154798459.491167,347292378.30000013,438215614.5999999,3978816529.0000005,441181056.9617001,11622174408.765587
2013,43545279206.037125,12877491499.999989,5173244365.03876,8285293477.385159,358953567.84999985,381618155.39999986,4932257053.33333,624332986.5655569,13458537842.42392
2014,44905333169.56935,13152472099.999998,5312982968.933126,8482709318.558305,368618935.29999983,399471286.19999975,5602252435.666664,478195286.1317587,13795692287.491432
2015,47218313448.258804,13722541591.000015,5059185799.063962,8052372316.607775,390703689.9999999,380094620.0,6779011066.666667,534877308.44853806,13111558115.671738
2016,49025654652.79102,14552251765.000004,5491187747.724569,8712691551.971731,411842329.46666694,387942029.39999986,7911557294.999996,852313281.9142432,14203879299.6963
2017,51931517001.72701,15450864841.999996,4865657018.444094,7671855350.445229,427134902.6222224,411545926.9999999,8107876959.016388,928369188.4931773,12537512368.889322
2018,55589054966.485306,15940993800.000004,5168757735.688889,8511599698.34629,428766466.1777775,459398967.59999985,10694091744.193546,1011860108.8006175,13680357434.03518
2019,57255507623.8394,17297234500.00001,6317403997.9328,10320556896.763252,441387142.75555575,528116796.20000005,10019709755.948753,1083212808.8232179,16637960894.696053
2020,57971840342.82784,16251363799.0,6290238854.796774,10193968578.27562,343404766.62222254,368917391.20000005,9755770370.957897,831663413.9091288,16484207433.072393
2021,52375189607.953705,17553210699.999985,6376888631.575807,10334393309.70318,212847315.76,58363572.799999945,9273613933.801098,1552310946.4802039,16711281941.278988
2022,60470907143.83517,19934702530.499985,8829057284.835484,14308380749.130745,384982459.0666667,521093812.99999994,16378705377.364235,814834820.6488082,23137438033.96623
2023,63318006096.201035,20080132074.269363,9450034724.540901,11547556183.74558,431835555.5555552,662560000.0,12166687004.270895,1120623734.912662,20997590908.286484
2024,66417985437.01514,21305139094.481495,9383173067.436855,12186847765.698093,450450460.55709755,685751602.300907,10232501552.043518,1046605600.7243711,21570020833.13495
2025,68893840428.37903,21985633140.6762,9537843067.122036,12470854204.43241,461598901.5831602,724285051.8292372,11539720303.97316,1111662992.0726361,22008697271.554443
2026,71890120445.84735,22566896667.046284,9732622666.663769,12958507921.741451,476650305.21823937,760223615.8504341,13049619736.729292,1129363997.0901027,22691130588.40522
2027,74849867283.75912,23193598529.45733,9931805905.959518,13299352881.908722,493967161.05604064,797408184.667866,14527939488.782053,1159162093.1406665,23231158787.86824
2028,77916097410.1067,23796937452.073032,10124211700.210892,13630930307.362663,511261245.57085055,836376507.9014051,15651686165.916168,1190055251.3515239,23755142007.573555
