fiscal_year,RTTBase
2000,645348437.8076284
2001,1410893539.4823322
2002,2264131862.374941
2003,3393867741.726207
2004,4560036114.392205
2005,5149351057.144269
2006,6585815270.73799
2007,6671417377.561112
2008,5677866302.359388
2009,3926618525.5021644
2010,4010220334.427674
2011,4193465015.387611
2012,4648823215.483364
2013,4979826437.200592
2014,5967926623.679739
2015,7122147006.511919
2016,8229036566.743755
2017,8202542832.671154
2018,8798581114.882088
2019,8637273678.740334
2020,8490859683.2244835
2021,10185031655.060226
2022,17462477345.094337
2023,11720677302.633392
2024,11501817289.020424
2025,10410587421.308226
2026,10305895477.454039
2027,10370556183.020674
