fiscal_year,RTTBase
2000,619944139.7728397
2001,1550081972.7176554
2002,2342004259.7005725
2003,3404812928.7973976
2004,4544739060.054443
2005,5334361875.007448
2006,6671454876.164185
2007,6598777539.974541
2008,5543250132.173093
2009,3933711365.5298305
2010,3904197795.583594
2011,3987937579.711927
2012,4471422031.337847
2013,5058191497.87871
2014,5977370667.418903
2015,7027353962.48018
2016,8110163326.26673
2017,8285021334.271414
2018,9078345977.093132
2019,9040813822.12238
2020,8827607948.633724
2021,9460524703.408686
2022,17341408737.24577
2023,11811291682.168306
2024,9261024694.92534
2025,9244082716.365646
2026,10573713050.268316
2027,12147985777.049877
2028,13017264544.393745
